Termination time of Current method: 2813319 ms
Termination time of new approach: 41421 ms
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| #  | Type         | Nodes                                                             | Terminating OLD   | Termination NEW   | Time    |
| 86 | recursive    | [case_61,makePaths]                                               | yes               | yes               | -       |
| 87 | non_recursive| [case_29]                                                         | yes               | yes               | -       |
| 88 | non_recursive| [tail]                                                            | yes               | yes               | -       |
| 89 | non_recursive| [case_28]                                                         | yes               | yes               | -       |
| 90 | non_recursive| [head]                                                            | yes               | yes               | -       |
| 91 | recursive    | [case_10,length]                                                  | yes               | yes               | -       |
| 92 | recursive    | [case_74,case_75,case_76,case_77,getFromEntry]                    | yes               | yes               | -       |
| 93 | non_recursive| [case_1]                                                          | yes               | yes               | -       |
| 94 | non_recursive| [isJust]                                                          | yes               | yes               | -       |
| 95 | non_recursive| [hasQualifiedEntry]                                               | yes               | yes               | -       |
| 96 | non_recursive| [case_71]                                                         | yes               | yes               | -       |
| 97 | non_recursive| [hasQualifiedEntriesIn]                                           | yes               | yes               | -       |
| 98 | non_recursive| [DataBaseImpl.hasFile]                                            | yes               | yes               | -       |
| 99 | non_recursive| [ClientJobImpl.hasFile]                                           | yes               | yes               | -       |
| 100| non_recursive| [case_97]                                                         | yes               | yes               | -       |
| 101| non_recursive| [content]                                                         | yes               | yes               | -       |
| 102| non_recursive| [fileContent]                                                     | yes               | yes               | -       |
| 103| non_recursive| [cont_14]                                                         | yes               | yes               | -       |
| 104| non_recursive| [case_73]                                                         | yes               | yes               | -       |
| 105| non_recursive| [case_72]                                                         | yes               | yes               | -       |
| 106| non_recursive| [getFromEntryIn]                                                  | yes               | yes               | -       |
| 107| non_recursive| [if_14]                                                           | yes               | yes               | -       |
| 108| non_recursive| [DataBaseImpl.getContent]                                         | yes               | yes               | -       |
| 109| non_recursive| [file]                                                            | yes               | yes               | -       |
| 110| non_recursive| [updateDirWithFile]                                               | yes               | yes               | -       |
| 111| non_recursive| [DataBaseImpl.updateFile]                                         | yes               | yes               | -       |
| 112| non_recursive| [cont_34]                                                         | yes               | yes               | -       |
| 113| non_recursive| [if_34]                                                           | yes               | yes               | -       |
| 114| non_recursive| [ClientJobImpl.continue]                                          | yes               | yes               | -       |
| 115| non_recursive| [SyncClientImpl.jobCountAndMaximumTransactionId]                  | yes               | yes               | -       |
| 116| non_recursive| [SyncClientImpl.isShutdownRequested]                              | yes               | yes               | -       |
| 117| non_recursive| [SyncServerImpl.requestShutDown]                                  | yes               | yes               | -       |
| 118| non_recursive| [UpdaterImpl.shutDown]                                            | yes               | yes               | -       |
| 119| non_recursive| [cont_11]                                                         | yes               | yes               | -       |
| 120| non_recursive| [eq]                                                              | yes               | yes               | -       |
| 121| non_recursive| [emptySet]                                                        | yes               | yes               | -       |
| 122| non_recursive| [neg]                                                             | yes               | yes               | -       |
| 123| non_recursive| [hasNext]                                                         | yes               | yes               | -       |
| 124| non_recursive| [DataBaseImpl.getRoot]                                            | yes               | yes               | -       |
| 125| non_recursive| [DataBaseImpl.getTransactions]                                    | yes               | yes               | -       |
| 126| recursive    | [case_86,case_87,firstValues]                                     | yes               | yes               | -       |
| 127| non_recursive| [DataBaseImpl.lastTransactionIds]                                 | yes               | yes               | -       |
| 128| non_recursive| [SyncServerImpl.getUpdatableDataBase]                             | yes               | yes               | -       |
| 129| non_recursive| [SyncServerImpl.listSchedules]                                    | yes               | yes               | -       |
| 130| non_recursive| [case_60]                                                         | yes               | yes               | -       |
| 131| non_recursive| [case_57]                                                         | yes               | yes               | -       |
| 132| non_recursive| [isFile]                                                          | yes               | yes               | -       |
| 133| non_recursive| [makeContent]                                                     | yes               | yes               | -       |
| 134| non_recursive| [updateDirWithContent]                                            | yes               | yes               | -       |
| 135| recursive    | [case_78,updateDirWithContents]                                   | yes               | yes               | -       |
| 136| recursive    | [applyChanges,case_84,case_85]                                    | yes               | yes               | -       |
| 137| non_recursive| [TesterImpl.checkDataORIGIN_ReplicationItemDelta]                 | yes               | yes               | -       |
| 138| non_recursive| [cont_8]                                                          | yes               | yes               | -       |
| 139| non_recursive| [cont_9]                                                          | yes               | yes               | -       |
| 140| non_recursive| [case_9]                                                          | yes               | yes               | -       |
| 141| non_recursive| [next]                                                            | yes               | yes               | -       |
| 142| recursive    | [entrywhile_3,while_3]                                            | yes               | yes               | -       |
| 143| non_recursive| [TesterImpl.compareEntrySets]                                     | yes               | yes               | -       |
| 144| non_recursive| [makePath]                                                        | yes               | yes               | -       |
| 145| non_recursive| [case_7]                                                          | yes               | yes               | -       |
| 146| non_recursive| [insertElement]                                                   | yes               | yes               | -       |
| 147| recursive    | [case_6,union]                                                    | yes               | yes               | -       |
| 148| recursive    | [case_66,case_67,getFileIdFromEntries]                            | yes               | yes               | -       |
| 149| recursive    | [case_64,case_65,getFileIdFromEntries1]                           | yes               | yes               | -       |
| 150| non_recursive| [case_63]                                                         | yes               | yes               | -       |
| 151| non_recursive| [case_62]                                                         | yes               | yes               | -       |
| 152| non_recursive| [getFileIdFromDir]                                                | yes               | yes               | -       |
| 153| non_recursive| [case_24]                                                         | yes               | yes               | -       |
| 154| non_recursive| [left]                                                            | yes               | yes               | -       |
| 155| non_recursive| [case_70]                                                         | yes               | yes               | -       |
| 156| non_recursive| [makeMaybeEitherValue]                                            | yes               | yes               | -       |
| 157| non_recursive| [case_69]                                                         | yes               | yes               | -       |
| 158| non_recursive| [case_68]                                                         | yes               | yes               | -       |
| 159| non_recursive| [qualify]                                                         | yes               | yes               | -       |
| 160| non_recursive| [case_25]                                                         | yes               | yes               | -       |
| 161| non_recursive| [right]                                                           | yes               | yes               | -       |
| 162| non_recursive| [case_44]                                                         | yes               | yes               | -       |
| 163| non_recursive| [isDirectory]                                                     | yes               | yes               | -       |
| 164| non_recursive| [qualifyEntry]                                                    | yes               | yes               | -       |
| 165| recursive    | [case_45,qualifyFileEntry]                                        | yes               | yes               | -       |
