Termination time of Current method: 5200 ms
Termination time of new approach: 239740 ms
+-----------------------------------------------------------------------------------------------------------------------------------------+ 
| #  | Type         | Nodes                                                             | Terminating OLD   | Termination NEW   | Time    |
| 80 | non_recursive| [CashDeskPCImpl.sendCreditInfoAndPin]                             | yes               | yes               | -       |
| 81 | non_recursive| [CardReaderImpl.enterPin]                                         | yes               | yes               | -       |
| 82 | non_recursive| [CardReaderEnvImpl.enterPinFromCustomer]                          | yes               | yes               | -       |
| 83 | non_recursive| [CardReaderEnvImpl.init]                                          | yes               | yes               | -       |
| 84 | non_recursive| [CardReaderEnvImpl.pullCardThrough]                               | yes               | yes               | -       |
| 85 | non_recursive| [CardReaderEnvImpl.setDependencies]                               | yes               | yes               | -       |
| 86 | non_recursive| [CardReaderImpl.init]                                             | yes               | yes               | -       |
| 87 | non_recursive| [CardReaderImpl.setDependencies]                                  | yes               | yes               | -       |
| 88 | non_recursive| [cont_19]                                                         | yes               | yes               | -       |
| 89 | non_recursive| [if_19]                                                           | yes               | yes               | -       |
| 90 | non_recursive| [CashDeskPCImpl.moneyReceived]                                    | yes               | yes               | -       |
| 91 | non_recursive| [CashBoxImpl.onCloseEvent]                                        | yes               | yes               | -       |
| 92 | non_recursive| [CashBoxEnvImpl.close]                                            | yes               | yes               | -       |
| 93 | non_recursive| [CashBoxEnvImpl.init]                                             | yes               | yes               | -       |
| 94 | non_recursive| [cont_10]                                                         | yes               | yes               | -       |
| 95 | non_recursive| [money]                                                           | yes               | yes               | -       |
| 96 | non_recursive| [if_10]                                                           | yes               | yes               | -       |
| 97 | non_recursive| [CashDeskPCImpl.newSaleStarted]                                   | yes               | yes               | -       |
| 98 | non_recursive| [cont_11]                                                         | yes               | yes               | -       |
| 99 | non_recursive| [if_11]                                                           | yes               | yes               | -       |
| 100| non_recursive| [CashDeskPCImpl.saleFinished]                                     | yes               | yes               | -       |
| 101| non_recursive| [cont_13]                                                         | yes               | yes               | -       |
| 102| non_recursive| [cont_14]                                                         | yes               | yes               | -       |
| 103| non_recursive| [cont_15]                                                         | yes               | yes               | -       |
| 104| non_recursive| [if_15]                                                           | yes               | yes               | -       |
| 105| non_recursive| [if_14]                                                           | yes               | yes               | -       |
| 106| non_recursive| [if_13]                                                           | yes               | yes               | -       |
| 107| non_recursive| [CashDeskPCImpl.paymentModeSelected]                              | yes               | yes               | -       |
| 108| non_recursive| [cont_16]                                                         | yes               | yes               | -       |
| 109| non_recursive| [CashBoxEnvImpl.open]                                             | yes               | yes               | -       |
| 110| non_recursive| [CashBoxImpl.open]                                                | yes               | yes               | -       |
| 111| non_recursive| [cont_18]                                                         | yes               | yes               | -       |
| 112| non_recursive| [case_21]                                                         | yes               | yes               | -       |
| 113| non_recursive| [subtractMoney]                                                   | yes               | yes               | -       |
| 114| non_recursive| [if_18]                                                           | yes               | yes               | -       |
| 115| non_recursive| [CashDeskPCImpl.cashAmountEntered]                                | yes               | yes               | -       |
| 116| non_recursive| [cont_17]                                                         | yes               | yes               | -       |
| 117| non_recursive| [intToMoney]                                                      | yes               | yes               | -       |
| 118| non_recursive| [if_17]                                                           | yes               | yes               | -       |
| 119| non_recursive| [if_16]                                                           | yes               | yes               | -       |
| 120| non_recursive| [CashDeskPCImpl.keypadSend]                                       | yes               | yes               | -       |
| 121| non_recursive| [cont_9]                                                          | yes               | yes               | -       |
| 122| non_recursive| [case_11]                                                         | yes               | yes               | -       |
| 123| non_recursive| [fromNumKey]                                                      | yes               | yes               | -       |
| 124| non_recursive| [if_9]                                                            | yes               | yes               | -       |
| 125| non_recursive| [case_10]                                                         | yes               | yes               | -       |
| 126| non_recursive| [isNumKey]                                                        | yes               | yes               | -       |
| 127| non_recursive| [cont_8]                                                          | yes               | yes               | -       |
| 128| recursive    | [case_22,numberFromListHelper]                                    | yes               | yes               | -       |
| 129| recursive    | [case_3,reverse]                                                  | yes               | yes               | -       |
| 130| non_recursive| [numberFromList]                                                  | yes               | yes               | -       |
| 131| non_recursive| [if_8]                                                            | yes               | yes               | -       |
| 132| non_recursive| [cont_7]                                                          | yes               | yes               | -       |
| 133| non_recursive| [if_7]                                                            | yes               | yes               | -       |
| 134| non_recursive| [cont_6]                                                          | yes               | yes               | -       |
| 135| non_recursive| [if_6]                                                            | yes               | yes               | -       |
| 136| non_recursive| [cont_5]                                                          | yes               | yes               | -       |
| 137| non_recursive| [if_5]                                                            | yes               | yes               | -       |
| 138| non_recursive| [cont_4]                                                          | yes               | yes               | -       |
| 139| non_recursive| [if_4]                                                            | yes               | yes               | -       |
| 140| non_recursive| [cont_3]                                                          | yes               | yes               | -       |
| 141| non_recursive| [if_3]                                                            | yes               | yes               | -       |
| 142| non_recursive| [CashBoxImpl.keyPressed]                                          | yes               | yes               | -       |
| 143| non_recursive| [CashBoxEnvImpl.keyPressed]                                       | yes               | yes               | -       |
| 144| non_recursive| [CashBoxEnvImpl.setDependencies]                                  | yes               | yes               | -       |
| 145| non_recursive| [CashBoxImpl.init]                                                | yes               | yes               | -       |
| 146| non_recursive| [CashBoxImpl.setDependencies]                                     | yes               | yes               | -       |
| 147| non_recursive| [CashDeskEnvironmentInstallation.getBank]                         | yes               | yes               | -       |
| 148| non_recursive| [CashDeskEnvironmentInstallation.getBarCodeScannerEnv]            | yes               | yes               | -       |
| 149| non_recursive| [CashDeskEnvironmentInstallation.getCardReaderEnv]                | yes               | yes               | -       |
| 150| non_recursive| [CashDeskEnvironmentInstallation.getCashBoxEnv]                   | yes               | yes               | -       |
| 151| non_recursive| [CashDeskEnvironmentInstallation.getCashier]                      | yes               | yes               | -       |
| 152| non_recursive| [CashDeskEnvironmentInstallation.getInventory]                    | yes               | yes               | -       |
| 153| non_recursive| [CashDeskEnvironmentInstallation.getLightDisplayEnv]              | yes               | yes               | -       |
| 154| non_recursive| [CashDeskEnvironmentInstallation.getPrinterEnv]                   | yes               | yes               | -       |
| 155| non_recursive| [CashDeskEnvironmentInstallation.getScreen]                       | yes               | yes               | -       |
